Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
DMXL1,140.1066048,644.9367726,3.139481031,0.001902285,0.016610406,-4.540152414
PRPF40A,140.1018139,2497.010679,1.251118508,0.212096661,0.417518951,-4.591532077
DUOX1,140.0880702,275.3440121,1.629056871,0.104599047,0.266238486,-4.584589579
PAQR8,140.0824753,812.7708681,0.967713181,0.334151569,0.549726199,-4.595570773
RSU1,139.9717087,1389.528501,2.098323891,0.036911189,0.134280077,-4.57356118
OPA1,139.9331139,1645.482499,1.672918992,0.09563251,0.25171562,-4.583670474
EIF4A3,139.9079952,1964.198551,1.458500107,0.145996441,0.328634992,-4.587940526
SLC38A1,139.7870613,3473.018713,0.476081239,0.634445045,0.79303202,-4.600154586
APOC2,139.6527709,165.1781524,4.328929774,2.19E-05,0.000482514,-4.488699253
FCRL5,139.5896593,95.93520571,5.524411091,8.50E-08,3.60E-06,-4.425604067
EIF2A,139.3032553,2095.874373,1.047436552,0.295940919,0.510116912,-4.594536988
PLEKHF2,139.2512067,542.358198,3.887558138,0.000130752,0.002099106,-4.509278611
NFAM1,139.1078529,254.6550268,5.860217206,1.50E-08,7.23E-07,-4.406273891
SLC24A6,138.9610287,869.9319195,2.515983524,0.012516915,0.064245104,-4.561588383
ARPP19,138.9051369,3257.015127,0.942800001,0.346721327,0.560931343,-4.595877311
LOX,138.6367568,566.8180109,1.694064237,0.091536712,0.244362311,-4.583219061
VASH1,138.3752549,486.2010467,3.446311211,0.000669654,0.007640416,-4.528134396
CD79B,138.3746084,123.2236075,3.698035799,0.000268743,0.003668701,-4.517597006
CXCR3,138.3558396,144.7677811,6.23834879,1.95E-09,1.12E-07,-4.383828624
TMCC3,138.33969,591.6806721,1.622419214,0.106012672,0.268683973,-4.584726632
FGR,138.3299294,196.5344854,7.012454042,2.31E-11,2.07E-09,-4.336047872
ADPGK,138.3234743,1179.151769,3.361743121,0.000899751,0.009651927,-4.531539203
IL18,138.2070039,504.0318343,2.201635011,0.028633219,0.11319481,-4.570784939
UBE2B,138.1483267,1187.007353,2.355830171,0.019278079,0.086446911,-4.566413342
CCL3,138.1445923,214.1035995,3.4842205,0.000585518,0.00685081,-4.526585751
DOK3,138.1132183,218.6683993,6.251119104,1.82E-09,1.06E-07,-4.383059189
KIAA0196,137.9229925,1036.342057,2.025568483,0.043904129,0.151516108,-4.575441876
RARRES2,137.9019032,997.1409854,1.116717029,0.265220347,0.479236783,-4.593573412
CSGALNACT2,137.733908,460.1476962,4.331664425,2.17E-05,0.000478274,-4.488566722
HIPK1,137.6807333,1978.505391,1.209587788,0.227614739,0.435516915,-4.592187023
NDFIP2,137.525047,1306.082916,1.118993751,0.264249757,0.478156466,-4.59354072
STAG2,137.47453,2217.712767,1.273016509,0.204230981,0.407488602,-4.591178068
DOK4,137.4686542,1277.742272,1.169823339,0.243220296,0.453627801,-4.592793884
S100A8,137.3210804,499.8249075,0.54617758,0.585445901,0.758256007,-4.599690637
IL6ST,137.2954962,427.2637353,2.912020311,0.003925671,0.027903541,-4.548448972
AMICA1,137.0442736,178.5058553,5.994576009,7.34E-09,3.82E-07,-4.398376059
SOS1,137.0149639,1173.690399,2.585971948,0.010294734,0.055832012,-4.559390239
DNAJC13,136.9626224,1038.263842,2.417366692,0.016371669,0.077321446,-4.564593416
CHUK,136.8829821,599.3210023,3.847838377,0.000152418,0.00235879,-4.511048633
DDX23,136.8723582,2619.905614,1.461599329,0.145145372,0.327726246,-4.587882817
RIN3,136.8477604,581.3529439,3.417414514,0.000741244,0.008272246,-4.529305593
NRAS,136.6747932,1653.938965,1.550627862,0.122294693,0.294708202,-4.586174676
EIF2AK2,136.6475913,481.7973308,4.295603873,2.52E-05,0.000539035,-4.49030953
THOC2,136.5164343,1557.489473,1.53522193,0.126032711,0.300269567,-4.586477214
NAA20,136.4441816,1167.26141,2.162982387,0.031519992,0.121317048,-4.571838088
PARP8,136.4403796,388.4643628,5.215520795,3.93E-07,1.41E-05,-4.442819404
DYRK2,136.4031893,952.5085618,2.054053263,0.041042541,0.144574231,-4.574712922
SNX1,136.3721595,2023.178767,1.990129498,0.047699354,0.159196105,-4.576335514
MAP3K1,136.282652,906.4819349,1.960545171,0.051076716,0.166785908,-4.577070208
ZC3H15,135.9646476,1641.731418,1.849537631,0.065596758,0.196509579,-4.57973465
PPIP5K2,135.8652006,876.8774497,2.356765545,0.019230707,0.086281879,-4.566385998
FOXN2,135.7998498,546.8107395,3.335807688,0.00098392,0.010276414,-4.53256946
BAZ1A,135.775171,1323.337333,1.78895179,0.074870387,0.214688144,-4.581126972
VPS36,135.6708041,1182.11232,2.171300184,0.030878404,0.119637329,-4.571612912
FAM126B,135.5566308,528.6312566,2.428115066,0.015905818,0.075487068,-4.564271168
ATP8A1,135.4405565,662.4317215,1.412959709,0.158949515,0.347040483,-4.588774864
GOLT1B,135.401496,1019.942771,2.237819706,0.026141278,0.106253622,-4.569783454
SYNCRIP,135.3770496,4616.601495,0.715833558,0.474782699,0.675569288,-4.598305991
KCNQ1,135.3768515,1007.641943,0.875925621,0.3819371,0.594183575,-4.596661161
HPCAL1,135.329779,1106.469575,1.566021195,0.118647362,0.289257496,-4.585869486
DENND3,135.1894788,418.7595559,3.351978235,0.00093062,0.009892081,-4.531927874
AARS,135.0877336,3187.05079,0.874085545,0.382936294,0.595334305,-4.596681925
CPEB4,135.0762222,563.8175568,3.273915564,0.001215309,0.012056631,-4.535001367
EPB41,134.9423558,1153.654075,1.858305692,0.064337132,0.194348796,-4.57952952
TRIM15,134.9256775,337.8433294,2.161222905,0.031657174,0.121615688,-4.571885617
YPEL3,134.7902536,764.9670601,1.951380565,0.052162981,0.169048233,-4.577295707
ARNTL2,134.7389189,225.84566,3.959512163,9.87E-05,0.001676381,-4.506036766
PNP,134.6603072,2177.497246,0.907644091,0.364967178,0.578357674,-4.596296471
NOMO2,134.6172753,1467.441914,1.562191933,0.119546559,0.290773727,-4.585945676
NDUFA12,134.6104713,963.2608254,2.178258924,0.030350343,0.118212949,-4.571423915
TBL1XR1,134.5204958,2856.897509,0.935924877,0.350242772,0.564370095,-4.595960518
FAM78A,134.4898729,176.1265338,7.930134361,8.01E-14,1.41E-11,-4.277160266
HNMT,134.4863705,737.8059796,2.06998844,0.039512176,0.140793387,-4.574300986
NPL,134.477794,178.1025391,7.61319357,5.94E-13,8.08E-11,-4.297700722
SERPINE2,134.3339487,1078.377629,0.616899026,0.53787996,0.722974076,-4.599158406
STIP1,134.3138627,4390.493179,0.624594335,0.532824426,0.719257909,-4.599096612
MYO7A,134.2667504,203.3911721,6.159303458,3.01E-09,1.66E-07,-4.388575337
PSMC6,134.2457529,1361.33482,2.158488778,0.031871367,0.122118982,-4.571959404
PRPF4B,134.1094155,1591.429292,2.024649535,0.0439992,0.151651878,-4.575465234
HINT1,133.8103623,4514.943839,0.510492865,0.610170491,0.777208114,-4.599934741
CLPX,133.567318,724.7422705,3.28714549,0.001161963,0.011646027,-4.534484702
BAT2L2,133.5331854,4117.383854,0.592605775,0.553997088,0.733466628,-4.599348488
RBMXL1,133.5293768,574.1929714,4.537068945,8.98E-06,0.000223095,-4.478443886
GABARAPL1,133.4033195,688.390282,1.783513155,0.075753116,0.216219287,-4.581249809
KIAA0368,133.3682926,2466.984325,1.224271741,0.222037541,0.428725064,-4.59195792
CDK6,133.2983776,906.1561925,1.070498929,0.285458884,0.498949491,-4.59422295
TMEM229B,133.2681692,303.4081224,4.707896526,4.21E-06,0.000115961,-4.469780023
TPPP,133.2062818,331.5740178,2.429472759,0.015847815,0.075291119,-4.564230371
CREB3L3,133.1779553,94.64982116,0.912544753,0.362388149,0.576196374,-4.596238984
BTN2A1,133.0810925,598.0300214,3.594510263,0.000393605,0.005001077,-4.522002605
NUP160,132.7871035,1297.390763,1.889842703,0.059971469,0.185235371,-4.578784142
C3orf57,132.7489981,117.0972009,3.010700004,0.002881887,0.022427345,-4.544915238
UNC5CL,132.7184548,239.6411424,2.140254055,0.033332109,0.125800589,-4.572449301
KLK1,132.6660835,270.6672633,1.276951331,0.202840536,0.405606545,-4.591113822
LOC84740,132.4931092,653.0198202,0.738958802,0.460646506,0.662757799,-4.598088644
PCSK9,132.380856,877.7276862,0.847498804,0.39755265,0.607596795,-4.596977119
RASL11A,132.2723091,268.5572547,1.929770472,0.054801556,0.174380239,-4.577823505
STK17A,132.234956,620.5500504,3.819944097,0.00016962,0.002571393,-4.512283295
C15orf24,132.1521363,1189.037521,2.537266795,0.011799735,0.061764267,-4.560925656
ENG,132.1076817,2512.213528,0.542871538,0.587716754,0.760270143,-4.599713942
FAM26F,132.105407,150.8846317,4.44724104,1.33E-05,0.000311297,-4.482911274
TGFBR1,131.98607,1147.258935,1.605188014,0.109753622,0.27441767,-4.585079918
NAA15,131.6826221,1263.643631,1.970308037,0.049940569,0.164540068,-4.576828898
ANKRD12,131.6662977,771.6943748,2.516034369,0.012515157,0.064245104,-4.561586805
SLC35D2,131.4545918,752.4346745,2.413250692,0.016553232,0.077908508,-4.564716475
CD5,131.3801146,156.8032296,5.752262112,2.64E-08,1.21E-06,-4.412553786
SNRPG,131.3430197,1117.848366,1.714711661,0.087675391,0.238196246,-4.582773059
PMAIP1,131.3154963,378.0735775,2.294070984,0.022641833,0.096545629,-4.568196817
EDEM3,131.3009008,1426.954663,1.0136969,0.311737536,0.526343201,-4.594984312
SPATA13,131.0604724,379.347769,3.230193548,0.001408227,0.013406486,-4.536696476
THRAP3,131.0377839,3218.462837,1.23900787,0.216540218,0.422613652,-4.591725291
SSR1,130.9763845,4533.788216,0.662323821,0.508392538,0.70088802,-4.598782629
AP1G1,130.9686836,2236.784793,1.456015279,0.146681565,0.329644861,-4.58798671
ZFP91,130.8590189,2036.509324,1.340617519,0.181298932,0.377415232,-4.590047527
KCTD20,130.5380805,1076.012077,1.855329399,0.064762437,0.195064786,-4.579599253
UBE2E1,130.4445372,1409.986809,1.821819172,0.069714034,0.204844327,-4.580377093
OSTF1,130.4138295,922.0683348,3.083800481,0.002280332,0.018854462,-4.542232514
PREP,130.384442,1548.729557,1.021574735,0.308000055,0.522410245,-4.594881155
NUDT21,130.3746339,2248.173907,1.184482129,0.23738164,0.446750942,-4.592572477
PSMC4,130.3038089,2376.354974,1.029846194,0.304108062,0.51852582,-4.594771999
RHOH,130.2537599,122.1799565,7.292701869,4.29E-12,4.55E-10,-4.318269606
C10orf18,130.1224766,1283.477393,1.958773137,0.051285253,0.167157925,-4.577113887
UBA6,130.1041056,1140.162691,1.910304511,0.057273341,0.179710967,-4.578294205
SPCS1,129.800753,2407.967345,1.205948462,0.229012415,0.437115466,-4.592243388
ZNF267,129.3990554,364.5124606,6.086456254,4.48E-09,2.40E-07,-4.392925023
HPS5,129.3839849,446.6517886,6.330616539,1.17E-09,7.09E-08,-4.378253626
LEPROTL1,129.2758014,1225.663934,2.283511167,0.023265694,0.098180146,-4.568497423
NMD3,129.1225108,1091.957332,1.838730004,0.06717747,0.199709861,-4.579986234
HIPK3,129.1079373,700.6585924,1.976888559,0.049186854,0.162668814,-4.576665613
CD22,129.0672498,95.84780852,3.063546016,0.002434228,0.019822268,-4.542981331
CEBPA,128.9785315,522.8091089,1.536818385,0.125641244,0.299772702,-4.586445998
PLEKHA6,128.7815195,1428.213543,0.932505618,0.35200259,0.566054002,-4.596001676
CD209,128.5636723,141.9454936,5.139490441,5.67E-07,1.98E-05,-4.446966911
PTPN2,128.4687669,669.7368907,4.068450502,6.40E-05,0.001177525,-4.501043194
ITK,128.4568017,106.9122794,9.336738615,6.62E-18,5.69E-15,-4.184821681
ECHDC1,128.4535935,1159.780265,1.957945743,0.051382868,0.167283766,-4.577134269
ANKMY2,128.3830966,470.1672566,3.494565681,0.00056434,0.006619236,-4.526160751
WWP1,128.2837532,1158.148737,1.53076006,0.127131876,0.302049206,-4.586564293
RIF1,128.2461057,670.067565,2.312400012,0.021593661,0.093726009,-4.567672031
CRYL1,128.2093727,1016.987727,1.01952252,0.308970802,0.523584974,-4.594908104
ITGB6,128.1140894,818.4090892,0.585691946,0.558627108,0.736967097,-4.599401197
CDH5,128.0809112,627.7399998,1.896364429,0.059100216,0.1835164,-4.578628525
ADA,127.9075023,221.5288775,4.346597125,2.04E-05,0.000452114,-4.487841975
MATR3,127.7959646,6098.728191,0.535352054,0.592896941,0.764148118,-4.599766424
PHIP,127.7539823,1405.548344,1.441486195,0.1507372,0.335735151,-4.588255228
IRAK3,127.6730896,179.088409,2.285064666,0.023172983,0.097890116,-4.56845328
LYST,127.6476346,363.5337739,4.193703043,3.85E-05,0.000768421,-4.495177426
USP38,127.6352449,793.1362404,2.386750151,0.017765395,0.081844133,-4.565504223
ATG5,127.5619629,1023.198008,2.984444914,0.003131352,0.023890461,-4.545865328
MEF2A,127.4321346,964.1241452,1.984059449,0.048376478,0.160764963,-4.576487098
SRRM1,127.408575,2481.228533,1.00797837,0.314469347,0.528659496,-4.595058702
CDC27,127.2934225,1301.978579,2.15200507,0.032384309,0.123404428,-4.572134037
MAP3K8,127.2634297,240.2062445,4.986537735,1.17E-06,3.78E-05,-4.455196938
FEM1B,127.2592466,1204.413298,2.234829586,0.0263398,0.106816252,-4.569866781
UBP1,127.1258647,1724.106661,1.775059028,0.077142231,0.219043689,-4.581440048
KLF10,126.9881341,1359.585521,0.686090785,0.493311164,0.689638785,-4.598575459
KIAA0776,126.9877087,1044.056702,2.042169112,0.042216496,0.14756342,-4.575018204
TRIM26,126.94674,1877.100998,1.709496462,0.088637995,0.239760196,-4.582886198
07-Sep,126.7985654,2541.202505,0.930244036,0.353169666,0.56698143,-4.596028817
NAPSB,126.7511511,859.4574074,0.319720848,0.749455174,0.86750356,-4.600960881
ITCH,126.6821625,1243.071797,1.846795549,0.065994862,0.197288666,-4.579798613
SEMA4D,126.6531733,1082.172049,2.06031921,0.040434853,0.143019899,-4.574551296
APLNR,126.5122278,381.6504649,2.496853309,0.01319442,0.066509816,-4.562179783
MME,126.3502854,271.8769023,0.8241932,0.410639525,0.619468865,-4.59722847
TREM2,125.9244204,205.0282887,4.674061069,4.90E-06,0.000132704,-4.471513223
EMR2,125.8574343,177.1693587,5.564884715,6.93E-08,3.00E-06,-4.423306867
PDIA3P,125.6787651,4034.589478,0.559731893,0.576178858,0.75119957,-4.599593618
KDM5A,125.6502063,1094.540435,2.458939207,0.014634253,0.071280862,-4.563339854
FBXL3,125.481164,846.9764864,2.088119174,0.037830487,0.136431176,-4.573828691
LILRB2,125.4368149,167.6494724,5.664780042,4.15E-08,1.85E-06,-4.41759789
PSMD10,125.4074059,966.3842385,3.083745794,0.002280735,0.018854462,-4.542234541
SP3,125.1931247,1630.649342,1.594895704,0.112037725,0.278296049,-4.585289213
FKBP15,125.1273746,933.1380733,4.204871539,3.68E-05,0.000740237,-4.494648044
BIRC6,125.0956677,1682.356063,1.280485707,0.201597523,0.403962494,-4.59105595
VAMP5,125.0189684,435.0476492,1.360445608,0.174951887,0.368412001,-4.589705156
CEP55,125.0019054,902.9050456,1.689633339,0.092383012,0.245777649,-4.5833141
CHST15,125.0011207,496.7721546,1.968446236,0.050155574,0.165098802,-4.576875003
SLC44A1,124.6857545,3270.76268,0.672569521,0.501861422,0.696404167,-4.598694209
NNT,124.6420358,1309.701358,1.310427392,0.191290832,0.390537348,-4.590559444
FCHSD2,124.6142753,677.8102461,3.650227507,0.000320868,0.004273846,-4.51964385
NCK1,124.6088233,536.3171627,3.912760801,0.000118556,0.001935658,-4.508148284
TNFRSF11A,124.5905674,355.8003315,1.895407994,0.059227323,0.183802587,-4.578651379
KPNA3,124.5429467,1272.840273,2.186346012,0.029746483,0.116523709,-4.57120357
FGD6,124.5148353,548.2604227,2.349024886,0.019625834,0.087549451,-4.566611983
H2AFY,124.4116733,5537.59264,0.610371889,0.542186958,0.726339066,-4.599210223
RAB6A,124.3702372,3306.789416,0.991287946,0.32253287,0.538198197,-4.595273454
DYNC1I2,124.338731,1485.252997,1.534587623,0.126188515,0.300551405,-4.586489608
HBXIP,124.3140475,1395.794685,1.64723247,0.100805169,0.259786189,-4.584211552
ATP5L,124.1581045,3617.981071,0.573587376,0.56677851,0.743097465,-4.599491998
ZHX1,124.0426004,664.649136,2.41897686,0.016301122,0.07703283,-4.564545224
LGALS2,123.9661004,184.1294713,1.132930144,0.258362249,0.471048954,-4.593339185
MOBKL2B,123.9235695,617.774999,1.904264315,0.058059035,0.181478926,-4.578439348
KLHL5,123.6253296,377.2575496,3.014088937,0.002851052,0.022282973,-4.544792083
DDX47,123.5562859,1207.84035,2.509107028,0.012756796,0.065087565,-4.561801433
EPT1,123.4483897,1263.911424,1.657984365,0.098613325,0.256419773,-4.583986041
CD247,123.3583063,125.7995805,7.149292371,1.02E-11,9.70E-10,-4.327393908
TMX1,123.1499798,1363.759182,1.696725498,0.091031433,0.24360899,-4.583161864
TRAF3IP3,123.1076431,113.1798295,7.255046352,5.39E-12,5.61E-10,-4.32067056
CCT6A,123.0992649,5141.847517,0.530740185,0.596084449,0.766785912,-4.599798252
CDC26,122.9735198,214.1533597,3.745767635,0.000224744,0.003188013,-4.515532531
FGD2,122.930447,128.2585066,9.546965575,1.53E-18,1.68E-15,-4.171000824
TNK2,122.9116526,1008.084642,1.720677633,0.086584636,0.236478312,-4.58264323
KIAA0430,122.8871923,1417.232683,1.907039578,0.057696924,0.180670823,-4.578372713
HECA,122.8830834,866.2761654,2.528385807,0.012094415,0.062847077,-4.561202805
NCF1,122.5586448,131.7917087,4.785524205,2.97E-06,8.55E-05,-4.465772242
MBP,122.4728148,1185.367611,1.749622684,0.081448136,0.227433507,-4.582007254
PAK2,122.4418041,2588.463,1.392672257,0.164994207,0.355203115,-4.589138303
DCK,122.4323507,716.2423416,2.510206892,0.012718155,0.064951304,-4.561767392
KYNU,122.4138406,154.8141654,3.483261732,0.000587518,0.006861516,-4.526625088
LRP10,122.412455,5323.909641,0.328930782,0.74249184,0.863759723,-4.600922152
CPNE5,122.2873348,127.8879164,4.386558733,1.72E-05,0.000393402,-4.485893746
ANTXR2,122.194551,1322.597261,0.569327295,0.569660904,0.745467173,-4.599523505
TANK,122.1795166,833.5933519,2.533547313,0.011922362,0.062176149,-4.561041836
GMPS,122.1723602,1188.506601,1.853275567,0.065057284,0.195651182,-4.579647312
MGAM,122.1678257,73.7758246,1.167062181,0.244331347,0.454816771,-4.592835287
TPP2,122.1572998,1061.250386,2.405545444,0.01689791,0.079097529,-4.564946333
RAB3GAP1,122.128766,1190.903291,2.404399842,0.016949694,0.079294457,-4.564980451
HLA-DOB,121.9461855,91.4807799,6.228878221,2.06E-09,1.17E-07,-4.384398786
STEAP1,121.9219786,419.6290799,2.467928508,0.014280814,0.070124163,-4.563066254
PSMG2,121.9167396,1314.358277,2.104488537,0.036365171,0.132992773,-4.57339899
PIP4K2C,121.6171286,1113.233661,2.258105308,0.024828507,0.102445043,-4.569215441
CHST5,121.5569723,289.3424478,1.259714512,0.208983144,0.413430813,-4.591393825
SFRS13A,121.0695555,1886.368782,1.798243529,0.07338184,0.211656656,-4.58091629
LACTB,121.0218433,375.4382083,4.878311535,1.94E-06,5.88E-05,-4.460925535
NUS1,120.8813606,1558.262138,1.871937934,0.062418658,0.190447413,-4.579208773
LIF,120.7745332,739.6742546,1.01074837,0.313144113,0.527245945,-4.59502272
CLDN12,120.6619326,1420.908027,0.788437829,0.431210564,0.638804661,-4.597600616
ABCE1,120.6242093,1908.17892,1.114604544,0.266123129,0.479738582,-4.593603687
ARFGEF1,120.5715178,1595.169182,1.034919572,0.301737202,0.516292527,-4.594704619
N4BP2L2,120.5666667,952.0271668,2.374694915,0.018342252,0.083628582,-4.565859957
C1GALT1C1,120.4710172,693.5207401,3.167386841,0.001735434,0.015663038,-4.539098085
C6orf192,120.4687975,741.9200956,2.286054287,0.023114092,0.09771719,-4.568425145
NCKAP1,120.4258374,4056.606057,0.591916881,0.554457574,0.733759795,-4.599353767
BTBD1,120.3441831,1443.259258,1.746538392,0.08198334,0.228459121,-4.582075501
PLCB3,120.2283378,2068.688885,0.638510143,0.523744086,0.712656862,-4.598982934
C14orf119,120.1439236,1203.655944,2.357343753,0.019201475,0.086281879,-4.56636909
SPSB1,120.1231514,753.1675823,1.611558443,0.108358531,0.271898919,-4.584949728
TOR1B,120.0640358,688.2966157,2.878537051,0.004351824,0.029946629,-4.549624872
PRPF38B,119.8766441,1394.955447,1.691001347,0.092121051,0.24530305,-4.583284783
NDUFA6,119.8253947,1461.565054,1.249268467,0.212771142,0.418191217,-4.591561711
ARL5A,119.7935346,929.289138,2.593311093,0.010083508,0.054859524,-4.559156612
BTBD3,119.7858867,1336.411851,0.784838045,0.43331442,0.640085361,-4.597637178
MAPK3,119.6442951,1655.384328,0.774174419,0.439581613,0.645940869,-4.597744513
PLXNC1,119.6067603,137.350831,6.129488909,3.54E-09,1.94E-07,-4.390358478
DIO2,119.5194146,748.1960552,0.785143203,0.433135842,0.640085361,-4.597634085
LIME1,119.3722947,340.5723025,2.058758171,0.040585524,0.143397502,-4.574591605
ATP10D,119.3562301,342.8704604,4.296701331,2.51E-05,0.000538465,-4.490256644
WDR26,119.2902191,2044.091411,1.210816467,0.22714425,0.435024537,-4.592167957
YPEL5,119.1728359,1536.911669,1.359119314,0.175371162,0.369020381,-4.589728209
RAB20,119.170955,766.5289226,2.681769608,0.007826432,0.04581648,-4.556294383
SKIV2L2,119.048128,1312.882508,2.137460135,0.033560941,0.126197485,-4.572524022
SH3D19,119.0361776,1457.522014,0.803893618,0.422245579,0.629646868,-4.597441754
TIGIT,119.0093753,100.700465,8.047704686,3.76E-14,7.59E-12,-4.269500255
C6orf105,119.0068728,202.2411792,1.406120649,0.160968098,0.34997713,-4.58889795
AREG,118.9971636,343.0675569,1.647888727,0.100670277,0.259618323,-4.584197828
CD69,118.9802866,147.7693696,4.359585988,1.93E-05,0.000432597,-4.487210125
CCT5,118.9427202,5887.247485,0.413506833,0.679600683,0.823971981,-4.600515186
DHX58,118.8677288,386.7568821,3.930863735,0.00011047,0.001825546,-4.507332934
KIAA1109,118.6749144,1125.409662,1.521887882,0.129339793,0.305382442,-4.58673672
RABGAP1L,118.6687923,262.7219513,6.53608295,3.69E-10,2.42E-08,-4.365713371
GAS6,118.6622296,1928.252244,0.529120459,0.597205788,0.76744442,-4.599809365
NFATC2IP,118.517498,950.3497986,2.914661355,0.003893736,0.027736926,-4.54835572
FGFR2,118.4460275,1320.05363,0.594217073,0.552920764,0.732754653,-4.599336115
EXOC1,118.2774136,868.2650664,3.094438327,0.002203145,0.0184182,-4.541837548
SEL1L3,118.1743521,3557.124706,0.468790258,0.639640623,0.796295269,-4.600199204
DDX6,118.1413113,2850.107728,1.086826472,0.278192384,0.49178371,-4.593996561
SCML1,118.0111484,368.3743573,2.459956325,0.014593877,0.071126634,-4.563308942
DYSF,117.7710269,381.1445196,3.035477317,0.002663337,0.021157819,-4.544012089
PSMD7,117.7299667,2168.291053,1.453704518,0.147320913,0.330767701,-4.58802959
CLEC7A,117.6956281,129.625939,8.368557798,4.65E-15,1.33E-12,-4.248510764
SCYL2,117.6299783,1050.224707,1.619671501,0.106602297,0.269304724,-4.584783209
NLRC3,117.6108167,137.7096263,7.803736887,1.79E-13,2.83E-11,-4.285372458
LXN,117.5646521,335.6255693,3.643205927,0.000329282,0.004346815,-4.519942693
CADPS2,117.5344332,593.3739251,2.571071727,0.010735801,0.057564345,-4.559862738
BTN2A2,117.3482694,304.9850635,5.136145595,5.76E-07,2.01E-05,-4.447148526
PDCD1,117.2692677,108.5784129,4.376998623,1.79E-05,0.000406873,-4.486360977
PDPR,117.1869187,694.5361831,1.970632252,0.049903207,0.164467029,-4.576820865
P2RY8,117.1730862,108.9705158,6.022842291,6.31E-09,3.30E-07,-4.396703335
CTSW,117.152838,153.1529165,3.484103366,0.000585762,0.00685081,-4.526590558
FOXA3,117.037421,399.674416,1.60302823,0.110229833,0.275355336,-4.585123944
FLVCR2,117.0299507,168.5715954,4.332437886,2.16E-05,0.000477362,-4.488529226
BANK1,116.9975506,138.5190708,3.46847341,0.000619187,0.007169839,-4.527230712
UPK1B,116.9793547,592.1424417,0.601282906,0.548213107,0.730130956,-4.599281465
RP2,116.9483546,497.4306699,3.556915405,0.000451157,0.005554673,-4.523577776
BCL11B,116.9259572,186.1362659,4.879185584,1.93E-06,5.88E-05,-4.460879593
BCL2L14,116.9242807,211.222217,3.574104901,0.000423925,0.005315997,-4.522859207
MRPL32,116.8845338,980.4880987,2.457325682,0.014698508,0.071508505,-4.563388868
TMEM51,116.8254085,590.8926754,3.317916131,0.001046198,0.010763251,-4.533276343
ADCY3,116.7938517,817.279357,1.953443295,0.051916809,0.168417591,-4.577245039
RAB5A,116.7911467,1257.407022,2.069237703,0.039583165,0.140923317,-4.57432046
TRA2B,116.7406867,2798.295529,1.262641952,0.207930454,0.412259614,-4.591346532
BMP4,116.7244964,552.1794919,1.011371191,0.31284665,0.526962474,-4.595014616
PTAR1,116.7190153,809.2909252,2.143677574,0.033053544,0.125089155,-4.572357617
PUM2,116.6021409,2951.32386,1.219108097,0.223987439,0.431560411,-4.592038792
TFEC,116.574179,107.965056,8.538795013,1.51E-15,5.60E-13,-4.237335762
TRAM2,116.569382,935.3129302,2.025088102,0.043953806,0.151579686,-4.575454088
HEBP1,116.4443392,658.3446676,2.038948318,0.042539538,0.148374927,-4.575100655
TMEM149,116.4013823,254.2381504,2.919159418,0.003839893,0.027527102,-4.54819673
USO1,116.3633163,2150.159632,1.060317883,0.290054709,0.503601262,-4.594362412
CGGBP1,116.325352,1807.328673,1.583763331,0.114550556,0.282597401,-4.585514138
HMGB2,116.2463365,3690.773236,0.479622419,0.631928091,0.791471425,-4.600132667
TP53INP1,116.2148367,962.3639084,1.482504333,0.139504247,0.320232492,-4.587490467
PTPRN2,116.1895727,369.4599518,1.528597999,0.127667185,0.302968333,-4.586606401
PARVA,116.1746766,1603.354132,0.946048045,0.345065592,0.559361192,-4.595837793
CALCRL,116.1222469,490.6557835,1.151661673,0.250594063,0.462065556,-4.593064459
MGEA5,116.1202126,2704.614757,0.999625474,0.318488005,0.533263688,-4.595166618
RPRD1B,116.07829,751.9453834,2.811006469,0.005342174,0.034285248,-4.551960453
LPAR6,116.0104118,406.2706186,2.430581561,0.015800585,0.075167876,-4.564197037
ANKRD10,115.8722899,1789.427365,1.025875994,0.305972051,0.520484026,-4.5948245
TMF1,115.8045398,1265.401428,1.685372469,0.093202789,0.247377441,-4.583405269
ZFP106,115.7179776,1375.745775,1.423810281,0.155786545,0.342332022,-4.588578394
C11orf75,115.6754208,360.8449713,3.441549928,0.000680986,0.007731895,-4.528327927
LILRB1,115.6153117,142.1085564,6.914513059,4.13E-11,3.43E-09,-4.342208088
GMPR2,115.601374,1070.191014,2.981960132,0.00315596,0.024010881,-4.545954874
BTK,115.5623636,104.9027885,8.122789964,2.32E-14,5.05E-12,-4.264598644
NDUFV2,115.5555689,2092.056736,0.890776431,0.373931861,0.58592484,-4.596492005
KIAA0040,115.479214,1197.695861,1.06502797,0.287922336,0.501409326,-4.594298055
CCDC109B,115.4587284,328.6239335,4.710801419,4.16E-06,0.000115039,-4.469630833
TLN2,115.3791391,1007.478012,1.160043919,0.247171521,0.458044141,-4.592940094
BID,115.3657105,777.8798794,2.475281413,0.013997369,0.069148426,-4.562841789
R3HDM2,115.2838427,1119.528899,2.122857062,0.034779107,0.129374114,-4.572913101
UAP1,115.1368266,1293.131356,1.251207266,0.212064341,0.417505666,-4.591530654
PVRL3,114.8789514,338.2859045,2.463551908,0.014451934,0.07058233,-4.563199573
G3BP2,114.8038654,3170.499402,0.737629534,0.461452604,0.663452726,-4.598101323
DNAJB6,114.6540361,1337.928163,1.908178895,0.057548815,0.180310786,-4.578345332
