Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
SH3BGRL3,603.6121168,6333.796401,1.334936717,0.183148694,0.380296163,-4.590144718
TPD52,601.4357348,4123.803305,1.367330758,0.172787409,0.365096418,-4.58958513
PPA1,600.7689262,4958.947912,1.918864187,0.056175173,0.177231313,-4.578087779
DERL3,600.0903399,562.4950684,3.343485909,0.000958267,0.010113521,-4.532265137
C12orf35,599.707182,1968.147303,2.912520585,0.003919604,0.027884693,-4.548431314
COL15A1,598.8809685,1816.428854,2.481322155,0.013768256,0.068513966,-4.562656931
ADD3,598.00029,2568.389162,2.467096417,0.014313208,0.070207521,-4.563091617
CYBA,594.9377346,4683.114204,1.248400291,0.213088196,0.418461748,-4.591575603
TNFAIP2,593.0566168,4378.660039,0.936269941,0.350065488,0.564346025,-4.595956356
ALDH1A1,591.2543458,3492.341049,0.5980647,0.550354785,0.731536941,-4.599306436
CTNNB1,588.6273696,7637.010847,1.254578363,0.210839453,0.416147938,-4.591476542
DDX3X,588.0231244,6562.69752,1.856864011,0.064542854,0.194680983,-4.579563311
CALCOCO2,586.2515419,1926.647516,4.665546467,5.09E-06,0.000137618,-4.471948057
ANTXR1,586.1787329,2515.526964,1.935520562,0.054088767,0.173090415,-4.577683606
ATP2A2,583.6347092,7197.19857,1.678697234,0.09449888,0.249536345,-4.583547656
C10orf81,582.908547,1431.405899,2.400948882,0.017106533,0.079746132,-4.565083137
PDGFRB,580.476694,2229.365499,2.412060968,0.016606043,0.078089533,-4.56475201
ACSL4,578.2399091,1679.394563,3.145871608,0.001862816,0.016378137,-4.539911662
YWHAB,576.2939403,7160.552629,1.826536105,0.068998679,0.203346829,-4.580268415
EPS8,574.7841704,1900.085615,2.995461442,0.003024359,0.023304057,-4.545467543
XIST,574.3528409,4085.069519,0.830245227,0.407216592,0.616183994,-4.597163865
EEF1A1P9,574.0212357,9928.483599,0.711538948,0.477434085,0.677772915,-4.598345601
TM9SF2,573.3339485,3948.60532,1.926073447,0.055263995,0.175407317,-4.577913247
TMEM45B,572.4704817,1598.006559,2.142153072,0.033177341,0.125419415,-4.572398461
TM9SF3,572.423361,6845.780854,1.245960635,0.213980983,0.419558966,-4.59161459
CD97,571.8346101,2683.331267,2.924815063,0.003773159,0.027198397,-4.547996524
CD163,570.2409375,581.7330807,5.413072414,1.49E-07,5.91E-06,-4.431874901
EEF1B2,569.0903792,6420.614354,1.215390718,0.225398805,0.433104189,-4.592096807
SF3B1,568.9202161,5926.677336,2.288840093,0.022949015,0.097422926,-4.568345884
FXYD3,568.1188254,4698.839179,0.759260956,0.448433722,0.653362251,-4.597892186
NFKBIA,565.8560603,2322.763294,3.537357489,0.000484135,0.005881303,-4.524391967
DUSP1,564.8306347,3133.178563,0.944625608,0.345790074,0.559825019,-4.595855116
STAT6,564.5588544,4065.411647,3.258221838,0.001281538,0.012521648,-4.535612001
ITGAL,564.2272016,530.9766715,8.663070691,6.58E-16,3.07E-13,-4.229166179
LAMA3,556.3061112,2176.69702,1.446402586,0.149355324,0.333678761,-4.588164657
MSLN,554.3011804,2338.217076,1.088318526,0.277534726,0.491305374,-4.593975706
DDX17,553.8387575,7779.350547,1.992988679,0.047383195,0.158659043,-4.576263964
SAMHD1,553.1832249,1068.963346,6.194731182,2.48E-09,1.38E-07,-4.386451299
GSDMB,553.1672656,946.0615743,3.546331519,0.000468732,0.005715446,-4.524018829
NARS,550.5111885,4176.941556,2.790073021,0.005688384,0.036109735,-4.552674609
CALB1,546.6553607,407.6067877,1.918914056,0.056168827,0.177231313,-4.578086574
FCER1G,544.4090923,627.5021878,5.774452094,2.35E-08,1.09E-06,-4.41126789
IFI44L,543.4217369,598.4564569,5.441044999,1.29E-07,5.22E-06,-4.430306212
ATP5F1,542.7409931,3844.491051,2.170078323,0.030971939,0.119830802,-4.57164604
PCBP2,542.4511345,9161.576284,1.41462196,0.158461817,0.346379989,-4.58874486
PKP2,541.9919933,1981.767421,2.343309539,0.019922139,0.088532597,-4.566778406
CSF1R,541.7883861,791.7652481,6.064288353,5.05E-09,2.68E-07,-4.394243822
CREB3L1,541.2888685,3419.337306,1.33449002,0.183294741,0.380419905,-4.590152343
C10orf10,540.2538625,1187.015761,1.732461634,0.084462574,0.232755775,-4.582385532
NR4A1,539.3361013,2803.169926,0.856246039,0.392706816,0.603513195,-4.596880992
IGFBP3,538.8316357,7281.880461,0.371909962,0.710284597,0.842302195,-4.600726904
EPSTI1,532.6039026,567.4942637,6.620785363,2.28E-10,1.60E-08,-4.360496122
EIF5,531.2108102,4071.982212,2.378455437,0.018160561,0.08313215,-4.565749165
SDHD,528.7054717,2287.79713,3.026179779,0.002743495,0.021660077,-4.544351733
CDC42,526.9480715,6290.227797,2.120755901,0.034957472,0.129893183,-4.57296888
PALLD,526.4752213,4427.61568,0.898572349,0.36977164,0.582044122,-4.596402083
FAM38A,525.432007,2641.211699,2.209637318,0.02806506,0.111407304,-4.570564754
AIM1,525.3703537,1579.780231,2.759222778,0.006235794,0.038918888,-4.553718546
IL2RB,525.0055957,576.0044378,8.455076135,2.63E-15,8.76E-13,-4.242834027
GLS,523.8993716,1353.438016,4.516157207,9.83E-06,0.000242547,-4.479489414
CAPZB,522.9421102,5130.830701,2.846549809,0.004797931,0.031999924,-4.550737191
RAP1B,521.7596249,2279.710287,4.64417717,5.60E-06,0.000148648,-4.473037019
TPM1,520.9675656,5890.904701,0.431087797,0.666787407,0.814441385,-4.600418979
MYO5B,519.0575055,2458.587942,2.524594101,0.012222215,0.063349872,-4.561320867
TNFRSF14,517.7888613,1790.140721,4.030652057,7.45E-05,0.001333723,-4.502787356
CD8A,517.4811572,387.0406388,6.504335603,4.42E-10,2.89E-08,-4.367661884
KCTD12,516.0472064,1885.691683,1.900214859,0.058590809,0.182536047,-4.578536412
APOL3,514.5243677,654.1292146,7.461701297,1.52E-12,1.91E-10,-4.30745182
PFN1,514.4103318,18653.82682,0.501345927,0.616582402,0.781864825,-4.599994668
PSMA1,513.4086152,2833.874861,3.801461358,0.000182014,0.002721376,-4.51309755
CD2AP,510.1055545,2638.074171,2.744448831,0.006514481,0.040212448,-4.554214867
CASP4,507.935661,1044.494407,4.504988104,1.03E-05,0.000251577,-4.48004647
TRAK1,507.0112185,2157.657017,3.04851976,0.002554518,0.020434896,-4.543534142
PLAUR,502.671694,1674.127649,2.847569634,0.004783088,0.031953142,-4.550701895
CDV3,502.5400589,3232.745222,3.113396203,0.002071533,0.017615582,-4.541130811
UBA7,502.0957902,1151.264878,5.628951276,4.99E-08,2.21E-06,-4.419651816
C11orf9,500.874095,1545.959399,2.578703067,0.010507834,0.05663962,-4.559621047
TMEM59,500.8629509,5850.770657,1.58476297,0.114323106,0.28219692,-4.585494003
SEL1L,500.4704778,2487.189015,3.260593112,0.001271321,0.012473593,-4.535519892
MPEG1,499.3796664,583.9773944,6.889821568,4.78E-11,3.91E-09,-4.343756439
STK17B,498.7752511,858.0288865,6.239353938,1.94E-09,1.12E-07,-4.383768088
HNRNPK,496.476854,12797.6316,1.295756937,0.196290968,0.396884537,-4.590804111
SNX3,496.0414824,2958.347202,3.873808515,0.000137898,0.002177435,-4.509892913
FAM107B,495.7592203,1840.464413,2.625364837,0.009205788,0.051403183,-4.558129324
FHL2,493.6379805,2391.993855,2.217629918,0.027507376,0.110022766,-4.570344102
NPM1,493.2273178,13543.40014,0.689478817,0.491181085,0.688074952,-4.598545336
