sample_id,predicted_probability,predicted_label,predicted_binary
SAMf2ce197162ce,0.10848821727028267,Others,0
SAM698d8d76b934,0.7041435358059799,HotHigh,1
SAMc1b27bc16435,0.013375784352020931,Others,0
SAM85e41e7f33f9,0.43347947793701747,Others,0
SAMf275eb859a39,0.8408772865757785,HotHigh,1
SAM7f0d9cc7f001,0.044286909099436035,Others,0
SAM4305ab968b90,0.047266456403580605,Others,0
SAMcf018fee2acd,0.9607881322982719,HotHigh,1
SAMb2f1d0e54ece,0.20091804894381118,Others,0
SAMcc4675f394a1,0.024804249110852418,Others,0
SAM49f9b2e57aa5,0.015059609860313085,Others,0
SAM2e7aa8fa0ab3,0.0754173531173405,Others,0
SAMd0e47be700b0,0.19892090025857342,Others,0
SAMdf3e42c8672a,0.034781859943658754,Others,0
SAMd027124354ce,0.5214549799518483,HotHigh,1
SAM36d87392593b,0.13652491891744273,Others,0
SAM4edbe45817b3,0.9306212359473247,HotHigh,1
SAM36a9225b0222,0.999981726653262,HotHigh,1
SAMe7bf6c015192,0.8492767676098155,HotHigh,1
SAM6dd7ad1d797d,0.47014587425411003,Others,0
SAMc0d625a50eb8,0.7909189822351452,HotHigh,1
SAM18039827e1b9,0.009994390710205203,Others,0
SAM681e4bf7cf85,0.9861209965988892,HotHigh,1
SAMc692536a795a,0.8493616748969685,HotHigh,1
SAM9a2cf3c06fb3,0.7981934630104344,HotHigh,1
SAM557dde1b9f3e,0.033833935761291144,Others,0
SAMb8f13a0525a6,0.06584144661939088,Others,0
SAM23aa15d4a0b0,0.0126535720276825,Others,0
SAM468a9e1dc821,0.014040006825173033,Others,0
SAM81b71522417a,0.02659343556173881,Others,0
SAM6cb230f208a8,0.022170846461324015,Others,0
SAM0684af734db1,0.15458345005327886,Others,0
SAMb963dda93cfd,0.16076169015130826,Others,0
SAMa9ca8536d2b1,0.2576274983609527,Others,0
SAM9fb814c22bdb,0.9660681662907381,HotHigh,1
SAMbcbc7957c264,0.2504527779766272,Others,0
SAM7fb6987514a4,0.9905239397663737,HotHigh,1
SAM63405b04ab2d,0.31873499063449234,Others,0
SAM18bc1078bc15,0.0279890235472204,Others,0
SAM7d2dfba6cd84,0.028485020398182983,Others,0
SAMd1bd63734394,0.9831533067438486,HotHigh,1
SAMe9ae8beb82fa,0.9969282720907061,HotHigh,1
SAMb0a83e5fbde9,0.0548581556121161,Others,0
