sample_id,B2M,C1S,CD74,CFB,CTSS,HLA-A,HLA-B,HLA-C,HLA-DQA1,HLA-DRA,HLA-DRB1,HLA-E,IDO1,IFI30,IFITM1,RNF213,SERPING1,SOD2,STAT1,TAP1,label
GSM972290,10.19576134,9.583620814,8.426731072,6.858665064,9.50784699,13.10365139,12.85300608,12.25005479,7.211175279,12.18590407,9.86107142,10.73948277,8.289453817,11.2523973,12.48866968,6.659663688,9.24513554,8.216659056,8.457167442,9.56007809,HotHigh
GSM972291,10.03130725,9.609533518,7.854142798,6.380020245,8.253381361,13.02522799,12.9192563,12.26523662,6.719028122,11.09080808,8.413380868,10.62452124,6.420089211,11.06438564,12.49604944,5.857974311,8.342208513,7.417900599,7.666738234,9.385708234,ColdLow
GSM972292,10.24010534,7.973470767,7.195023612,7.276787988,7.634971495,12.69320874,12.15396147,11.81472161,5.435627512,9.467669238,7.641596219,10.76250825,6.153826016,9.877617361,11.50048166,6.878683177,7.094902559,8.559924257,8.199200847,9.64381451,ColdLow
GSM972294,10.63943064,8.792791186,8.956841457,7.882177967,9.51357171,13.39449595,13.27216632,12.60079961,8.348629398,12.95673276,10.82143537,11.67431412,12.26408114,11.98436042,12.7795634,7.323790323,10.10904543,8.538074065,10.74646845,11.10499575,HotHigh
GSM972296,10.45080887,7.111689568,8.8386994,7.208196324,9.636495285,13.29439099,13.05075523,12.39477594,8.273898437,12.69849563,9.384726117,11.22307412,8.908102778,10.27223124,12.50004828,6.438847635,6.508631651,7.836109318,9.554404379,10.09441396,ColdHigh
GSM972298,10.26631207,8.726767902,8.185702217,6.778193147,9.021141328,12.34501147,11.82252396,11.81766933,6.341659214,11.24253761,8.641962461,10.62426325,6.974737808,10.33178896,10.3731023,6.308537516,7.387962459,6.823495713,8.49594381,9.385001678,ColdLow
GSM972305,10.70158377,8.912906529,8.865025583,7.032799134,9.725700262,13.16044773,12.85979073,12.23156399,8.45527962,12.00286409,9.458751815,10.89375482,7.441516651,11.63270272,11.78110504,6.383659497,7.790803323,8.1665985,8.224729198,9.139359741,HotHigh
GSM972314,9.983210072,6.295038962,8.711276443,5.761192427,9.184834333,12.98029743,12.9933903,12.27834417,7.697244986,12.01515419,9.518450302,10.94474747,10.54943562,11.75807115,12.61101137,6.577523735,8.865005873,7.099965129,9.862732184,10.44138239,HotHigh
GSM972316,10.25935966,8.075421965,8.270429071,6.572816974,8.588049074,12.93811638,12.77859681,12.08747688,6.140064591,11.26976624,8.771743363,10.45570465,6.253968672,10.55453634,11.44297183,5.662044603,6.817848817,7.772194275,7.281427263,8.587016565,ColdLow
GSM972317,10.39201681,8.6655562,8.781965766,6.666609008,9.021833556,13.19167272,13.10475751,12.44246207,6.898917703,12.35591244,9.785756828,11.07844513,8.144219438,10.81518896,11.77121932,6.101031049,8.509328299,7.615096543,8.878255153,9.444324525,ColdHigh
